"plate","state","license_type","summons_number","issue_date","violation_time","violation","precinct","county","issuing_agency"
"44VHLE","NJ","PAS","9037284097","03/15/2023","01:50P","SIDEWALK","108","Q","TRAFFIC"
"KKC3859","NY","PAS","9037514420","03/03/2023","01:41A","DOUBLE PARKING","075","K","TRAFFIC"
"JHV3849","NC","PAS","9038046315","03/08/2023","01:34P","SIDEWALK","073","K","TRAFFIC"
"MBC4956","PA","PAS","9038102343","03/22/2023","12:27P","FIRE HYDRANT","110","Q","TRAFFIC"
"T686574C","NY","OMT","9038278172","04/15/2023","06:00A","FIRE HYDRANT","102","Q","TRAFFIC"
"AW117D","NJ","PAS","9039126756","03/30/2023","12:23P","NO STANDING-BUS STOP","041","BX","TRAFFIC"
"KZA8275","NY","PAS","9039155975","03/17/2023","00:37A","FIRE HYDRANT","048","BX","TRAFFIC"
"KWK8335","NY","PAS","9039392420","03/11/2023","03:59P","CROSSWALK","046","BX","TRAFFIC"
"KWU7097","NY","PAS","9039656289","03/20/2023","08:57P","FIRE HYDRANT","079","K","TRAFFIC"
"TUV7527","VA","PAS","9039661649","03/10/2023","07:23A","FIRE HYDRANT","104","Q","TRAFFIC"
"TAJ625","MS","PAS","9039712852","02/25/2025","03:01P","FIRE HYDRANT","115","Q","TRAFFIC"
"A0H3YP","AL","PAS","9039890950","03/09/2023","05:54A","DOUBLE PARKING","044","BX","TRAFFIC"
"KYZ1238","NY","PAS","9039959146","04/12/2023","07:53A","CROSSWALK","075","K","TRAFFIC"
"AN50LW","FL","PAS","9040063722","03/20/2023","06:44P","CROSSWALK","115","Q","TRAFFIC"
"KWN3079","NY","PAS","9040227469","03/18/2023","05:39A","FIRE HYDRANT","109","Q","TRAFFIC"
"KSG8199","NY","PAS","9040373700","03/19/2023","01:33P","FIRE HYDRANT","028","NY","TRAFFIC"
"KGT7438","NY","OMS","9040467900","03/14/2023","06:53A","FIRE HYDRANT","078","K","TRAFFIC"
"2X2219","SD","PAS","9040496857","04/12/2023","03:14P","CROSSWALK","078","K","TRAFFIC"
"98637MM","NY","COM","9040577353","03/23/2023","11:24A","SIDEWALK","108","Q","TRAFFIC"
"T804510C","NY","OMT","9041015632","03/07/2023","08:08A","FIRE HYDRANT","061","K","TRAFFIC"
"LCV6187","NY","PAS","9041618417","11/01/2024","09:22A","FIRE HYDRANT","114","Q","TRAFFIC"
"SSB1389","TX","PAS","9041739269","03/25/2023","06:15A","FIRE HYDRANT","032","NY","TRAFFIC"
"KAK3207","NC","PAS","9041829740","04/24/2023","01:52P","FIRE HYDRANT","088","K","TRAFFIC"
"BR34749","CT","PAS","9041924371","03/12/2025","02:32P","SAFETY ZONE","010","NY","TRAFFIC"
"RBM532","SC","PAS","9042381875","03/26/2023","01:04A","FIRE HYDRANT","103","Q","TRAFFIC"
"KZP8582","NY","PAS","9042714542","04/17/2023","07:01A","FIRE HYDRANT","115","Q","TRAFFIC"
"D78NUM","NJ","PAS","9042803095","03/31/2023","06:30A","FIRE HYDRANT","042","BX","TRAFFIC"
"G88RVV","NJ","PAS","9042812916","04/03/2023","01:32P","CROSSWALK","044","BX","TRAFFIC"
"HHM1536","NY","PAS","9043094018","11/03/2023","03:12P","BIKE LANE","034","NY","TRAFFIC"
"BLANKPLATE","99","999","9043134570","04/10/2023","11:06A","FIRE HYDRANT","062","K","TRAFFIC"
"KZY6343","NY","PAS","9043444170","10/17/2023","05:56A","FIRE HYDRANT","110","Q","TRAFFIC"
"T806883C","NY","OMT","9043622540","04/06/2023","01:18A","FIRE HYDRANT","043","BX","TRAFFIC"
"LAE1770","NY","PAS","9043687054","04/18/2023","08:24A","FIRE HYDRANT","075","K","TRAFFIC"
"E79RCR","NJ","PAS","9044192711","04/13/2023","08:15A","CROSSWALK","048","BX","TRAFFIC"
"ZVN1598","PA","PAS","9044540634","03/23/2023","05:56A","FIRE HYDRANT","049","BX","TRAFFIC"
"KXT3161","NY","PAS","9044782680","03/30/2023","07:19A","DOUBLE PARKING","052","BX","TRAFFIC"
"QT00019","MS","PAS","9044788681","09/25/2025","01:32P","SIDEWALK","067","K","TRAFFIC"
"B72PSZ","NJ","PAS","9045159508","04/20/2023","06:05A","CROSSWALK","103","Q","TRAFFIC"
"T86PHG","NJ","PAS","9045329311","05/03/2023","02:34P","FIRE HYDRANT","046","BX","TRAFFIC"
"KKS6753","NY","PAS","9045357940","04/04/2023","05:20A","FIRE HYDRANT","072","K","TRAFFIC"
"AX714K","NJ","PAS","9045519859","08/05/2024","11:50A","DOUBLE PARKING","017","NY","TRAFFIC"
"BE45665","CT","PAS","9045889160","04/14/2023","08:58P","DOUBLE PARKING","049","BX","TRAFFIC"
"BF48JJ","FL","PAS","9046050932","04/07/2023","09:11P","FIRE HYDRANT","034","NY","TRAFFIC"
"T112086C","NY","OMT","9046054147","05/12/2023","09:57P","FIRE HYDRANT","034","NY","TRAFFIC"
"JSE8352","NY","PAS","9046058086","04/06/2023","06:42A","DOUBLE PARKING","044","BX","TRAFFIC"
"T785538C","NY","OMT","9046098035","04/06/2023","08:11A","FIRE HYDRANT","075","K","TRAFFIC"
"KBP8083","NY","PAS","9046161584","04/10/2023","08:11A","SIDEWALK","108","Q","TRAFFIC"
"W86RFK","NJ","PAS","9046452785","04/19/2023","02:49P","CROSSWALK","066","K","TRAFFIC"
"KSJ4303","NY","PAS","9046659811","05/14/2023","12:58P","FIRE HYDRANT","046","BX","TRAFFIC"
"KYF8088","NY","PAS","9046755277","04/06/2023","06:00A","FIRE HYDRANT","102","Q","TRAFFIC"
"T743650C","NY","OMT","9046757018","04/10/2023","07:29A","FIRE HYDRANT","103","Q","TRAFFIC"
"KVF2170","NY","PAS","9046801342","04/14/2023","09:44P","CROSSWALK","110","Q","TRAFFIC"
"XIZ1361","VA","PAS","9046910441","08/31/2024","07:17A","NO STANDING-DAY/TIME LIMITS","018","NY","TRAFFIC"
"A","PA","PAS","9046913478","09/16/2024","07:05A","CROSSWALK","014","NY","TRAFFIC"
"2HCP39","MA","999","9046991015","04/14/2023","11:26A","SIDEWALK","046","BX","TRAFFIC"
"M42PND","NJ","PAS","9047075766","04/07/2023","06:58A","CROSSWALK","107","Q","TRAFFIC"
"LBN9405","NY","PAS","9047247188","04/14/2023","06:48A","FIRE HYDRANT","046","BX","TRAFFIC"
"LJF0108","PA","PAS","9047270332","04/06/2023","08:03A","DOUBLE PARKING","046","BX","TRAFFIC"
"KNM3058","PA","PAS","9047423574","06/08/2025","09:01A","NO STANDING-BUS STOP","018","NY","TRAFFIC"
"XGVX61","NJ","PAS","9047541005","04/13/2023","01:24P","DOUBLE PARKING","026","NY","TRAFFIC"
"LFM2914","PA","PAS","9047688041","06/02/2023","10:20P","FIRE HYDRANT","110","Q","TRAFFIC"
"LZX6905","PA","PAS","9047806864","04/08/2023","06:30A","FIRE HYDRANT","050","BX","TRAFFIC"
"IMPAID","NY","SRF","9047835426","04/06/2023","05:52A","FIRE HYDRANT","062","K","TRAFFIC"
"LTR8751","PA","PAS","9047986106","10/21/2025","01:51P","FAIL TO DSPLY MUNI METER RECPT","090","K","TRAFFIC"
"1LT416","RI","PAS","9047987925","11/03/2025","04:48P","FIRE HYDRANT","094","K","TRAFFIC"
"TSE1445","VA","PAS","9048220452","04/12/2023","01:07A","FIRE HYDRANT","067","K","TRAFFIC"
"KNK8897","NY","PAS","9048236915","04/20/2023","05:09A","FIRE HYDRANT","066","K","TRAFFIC"
"67RY71","NY","MOT","9048590590","04/13/2023","08:19A","SIDEWALK","115","Q","TRAFFIC"
"M85NVY","NJ","PAS","9048959100","06/09/2023","08:52A","BIKE LANE","052","BX","TRAFFIC"
"RB8083","NC","PAS","9048974823","05/24/2023","08:06A","FIRE HYDRANT","046","BX","TRAFFIC"
"DKK515","GA","PAS","9048975712","04/13/2023","00:41A","FIRE HYDRANT","067","K","TRAFFIC"
"4EL8747","MD","PAS","9049345682","04/15/2023","04:56A","FIRE HYDRANT","032","NY","TRAFFIC"
"KXM4809","NY","PAS","9049375066","05/11/2023","07:15A","FIRE HYDRANT","048","BX","TRAFFIC"
"MBB0613","PA","PAS","9049379096","07/08/2023","12:00P","FIRE HYDRANT","052","BX","TRAFFIC"
"1YYY24","MA","PAS","9049445214","04/15/2023","05:57A","SIDEWALK","115","Q","TRAFFIC"
"TSN9573","VA","PAS","9049453296","04/24/2023","11:04A","FIRE HYDRANT","111","Q","TRAFFIC"
"076JM0","MO","PAS","9049587770","08/24/2024","07:02A","NO STANDING EXCP D/S","017","NY","TRAFFIC"
"KR8596","NC","PAS","9049638892","04/22/2023","06:05A","DOUBLE PARKING","044","BX","TRAFFIC"
